Date,Day,Channels,Product Name,Product Link,Copy,Caption
01-Dec-23,Fri,Facebook / Instagram,Muar Malaysian Fabric Sofa 3 Seater,https://www.royaloakindia.com/royaloak-muar-malaysian-fabric-sofa-3-seater.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
02-Dec-23,Sat,Facebook / Instagram,,,,
03-Dec-23,Sun,Facebook / Instagram,,,,
04-Dec-23,Mon,Facebook / Instagram,Boston American Fabric Sofa 1S,https://www.royaloakindia.com/royaloak-boston-american-fabric-sofa-1s.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
05-Dec-23,Tue,Facebook / Instagram,,,,
06-Dec-23,Wed,Facebook / Instagram,,,,
07-Dec-23,Thu,Facebook / Instagram,Miami American Fabric Sofa 2S,https://www.royaloakindia.com/royaloak-miami-american-fabric-sofa-2s.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
08-Dec-23,Fri,Facebook / Instagram,,,,
09-Dec-23,Sat,Facebook / Instagram,,,,
10-Dec-23,Sun,Facebook / Instagram,New York American Wooden Sofa 3S,https://www.royaloakindia.com/royaloak-new-york-american-wooden-sofa-3s.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
11-Dec-23,Mon,Facebook / Instagram,,,,
12-Dec-23,Tue,Facebook / Instagram,Penang Malaysian Wooden Sofa Set 3+1+1 Seater,https://www.royaloakindia.com/royaloak-penang-malaysian-wooden-sofa-set-3-1-1-seater.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
13-Dec-23,Wed,Facebook / Instagram,,,,
14-Dec-23,Thu,Facebook / Instagram,,,,
15-Dec-23,Fri,Facebook / Instagram,Mourya Wooden Sofa Set 3+2 Seater In Brown Color Cushion,https://www.royaloakindia.com/royaloak-mourya-wooden-sofa-set-3-2-seater-in-brown-color-cushion.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
16-Dec-23,Sat,Facebook / Instagram,,,,
17-Dec-23,Sun,Facebook / Instagram,,,,
18-Dec-23,Mon,Facebook / Instagram,Mourya Wooden Sofa Set 3+1+1 Seater In Grey Color Cushion,https://www.royaloakindia.com/royaloak-mourya-wooden-sofa-set-3-1-1-seater-in-grey-color-cushion.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
19-Dec-23,Tue,Facebook / Instagram,,,,
20-Dec-23,Wed,Facebook / Instagram,,,,
21-Dec-23,Thu,Facebook / Instagram,New York American Wooden Sofa Set 3+1+1 Seater,https://www.royaloakindia.com/royaloak-new-york-american-wooden-sofa-set-3-1-1-seater.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
22-Dec-23,Fri,Facebook / Instagram,,,,
23-Dec-23,Sat,Facebook / Instagram,,,,
24-Dec-23,Sun,Facebook / Instagram,Sepang Malaysian Leatherette Sofa 2 Seater,https://www.royaloakindia.com/royaloak-sepang-malaysian-leatherette-sofa-2-seater.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
25-Dec-23,Mon,Facebook / Instagram,,,,
26-Dec-23,Tue,Facebook / Instagram,Muar Malaysian Fabric Sofa 2 Seater,https://www.royaloakindia.com/royaloak-muar-malaysian-fabric-sofa-2-seater.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
27-Dec-23,Wed,Facebook / Instagram,,,,
28-Dec-23,Thu,Facebook / Instagram,Venice Italian Fabric Sofa 2S,https://www.royaloakindia.com/royaloak-venice-italian-fabric-sofa-2s.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
29-Dec-23,Fri,Facebook / Instagram,,,,
30-Dec-23,Sat,Facebook / Instagram,,,,
31-Dec-23,Sun,Facebook / Instagram,Johor Malaysian Fabric Sofa 2S,https://www.royaloakindia.com/royaloak-johor-malaysian-fabric-sofa-2s.html,"['Relax in style with this luxurious sofa.', 'Upgrade your living room with elegance.', 'Experience ultimate comfort with this masterpiece.']",
,,,,,,
,,,,,,
,,,,,,
,,,,**Note: I have made the formattings manually**,,
